Word,Count
effect,2
bespeak,2
spoon,2
diamond,2
trouble,2
forty,2
fits,2
perforce,2
senseless,2
served,2
nativity,2
along,2
pulse,2
surely,2
deadly,2
dark,2
lock,2
confess,2
dissembling,2
displeasure,2
large,2
drawn,2
kill,2
wretch,2
impeach,2
heavy,2
passion,2
wreck,2
subject,2
reprehended,2
haply,2
sayst,2
raging,2
fever,2
fit,2
madness,2
rude,2
stir,2
order,2
shalt,2
publicly,2
guard,2
each,2
fled,2
command,2
wars,2
hark,2
perjured,2
parted,2
bore,2
bonds,2
thereupon,2
vouchsafe,2
remember,2
grief,2
voice,2
seven,2
renowned,2
comedy,1
shakespearehomepage,1
comedyoferrors,1
entire,1
hall,1
solinuss,1
palace,1
attendants,1
proceed,1
procure,1
doom,1
partial,1
infringe,1
enmity,1
discord,1
sprung,1
rancorous,1
welldealing,1
wanting,1
seald,1
rigorous,1
bloods,1
excludes,1
threatening,1
mortal,1
intestine,1
jars,1
twixt,1
seditious,1
solemn,1
synods,1
decreed,1
syracusians,1
admit,1
traffic,1
adverse,1
towns,1
seen,1
marts,1
fairs,1
dispose,1
levied,1
quit,1
penalty,1
ransom,1
substance,1
valued,1
highest,1
condemned,1
likewise,1
brief,1
departedst,1
native,1
heavier,1
task,1
imposed,1
griefs,1
unspeakable,1
wrought,1
utter,1
lived,1
joy,1
increased,1
prosperous,1
voyages,1
factors,1
random,1
embracements,1
spouse,1
absence,1
six,1
months,1
fainting,1
punishment,1
provision,1
following,1
arrived,1
joyful,1
goodly,1
distinguishd,1
selfsame,1
meaner,1
male,1
thosefor,1
exceeding,1
meanly,1
proud,1
daily,1
motions,1
unwilling,1
agreed,1
saild,1
windobeying,1
tragic,1
retain,1
obscured,1
convey,1
fearful,1
doubtful,1
immediate,1
gladly,1
embraced,1
incessant,1
weepings,1
piteous,1
plainings,1
babes,1
mournd,1
ignorant,1
forced,1
delays,1
sailors,1
sought,1
safety,1
boat,1
sinkingripe,1
latterborn,1
seafaring,1
provide,1
storms,1
fixing,1
fixd,1
floating,1
obedient,1
stream,1
towards,1
dispersed,1
vapours,1
offended,1
wished,1
waxd,1
calm,1
discovered,1
amain,1
epidaurus,1
cameo,1
sequel,1
forward,1
worthily,1
termd,1
merciless,1
leagues,1
encounterd,1
rock,1
violently,1
helpful,1
midst,1
unjust,1
divorce,1
sorrow,1
seeming,1
speed,1
seized,1
healthful,1
shipwreckd,1
